id,title_english,format,status,season,seasonYear,seasonInt,episodes,duration,averageScore,meanScore,popularity,favourites
2123,,MOVIE,FINISHED,WINTER,2005.0,51.0,1.0,80.0,64.0,65.0,4852,54
6918,,TV,FINISHED,WINTER,2011.0,111.0,12.0,23.0,54.0,54.0,4851,23
260,,TV,FINISHED,SPRING,2002.0,22.0,13.0,23.0,62.0,62.0,4851,25
11457,,TV_SHORT,FINISHED,FALL,2011.0,114.0,75.0,5.0,66.0,67.0,4840,78
21775,Rainbow Days OAD,OVA,FINISHED,SUMMER,2016.0,163.0,1.0,22.0,65.0,65.0,4838,27
185505,Necronomico and the Cosmic Horror Show,TV,FINISHED,SUMMER,2025.0,253.0,12.0,24.0,56.0,56.0,4836,61
1136,,TV,FINISHED,SPRING,1999.0,992.0,26.0,24.0,64.0,66.0,4836,78
1972,Sherlock Hound,TV,FINISHED,FALL,1984.0,844.0,26.0,25.0,71.0,73.0,4835,90
197,,TV_SHORT,FINISHED,SPRING,2002.0,22.0,24.0,15.0,59.0,60.0,4835,39
101525,Calamity of a Zombie Girl,ONA,FINISHED,SUMMER,2018.0,183.0,1.0,80.0,49.0,49.0,4831,32
2125,Yu Yu Hakusho: Eizou Hakusho,OVA,FINISHED,FALL,1994.0,944.0,2.0,26.0,70.0,71.0,4829,56
171030,Wonderful Precure!,TV,FINISHED,WINTER,2024.0,241.0,50.0,24.0,76.0,77.0,4828,239
6443,,OVA,FINISHED,SUMMER,2009.0,93.0,3.0,26.0,53.0,53.0,4824,39
128306,,ONA,FINISHED,WINTER,2021.0,211.0,12.0,3.0,69.0,70.0,4821,68
170661,"TenPuru: No Way, Why Is It So Big… / You Mustn’t Touch That",SPECIAL,FINISHED,FALL,2023.0,234.0,2.0,12.0,63.0,64.0,4820,52
189069,Milky☆Subway: The Galactic Limited Express,TV_SHORT,FINISHED,SUMMER,2025.0,253.0,12.0,4.0,77.0,78.0,4819,143
1487,.hack//Unison,SPECIAL,FINISHED,FALL,2003.0,34.0,1.0,24.0,62.0,63.0,4816,10
606,Carried by the Wind: Tsukikage Ran,TV,FINISHED,WINTER,2000.0,1.0,13.0,24.0,69.0,70.0,4812,55
4765,Gunslinger Girl: Il Teatrino OVA,OVA,FINISHED,FALL,2008.0,84.0,2.0,23.0,67.0,68.0,4806,21
15807,,OVA,FINISHED,SUMMER,2013.0,133.0,1.0,25.0,66.0,67.0,4805,26
1533,Wedding Peach,TV,FINISHED,SPRING,1995.0,952.0,51.0,24.0,64.0,65.0,4802,78
1174,Munto,OVA,FINISHED,SPRING,2003.0,32.0,1.0,54.0,60.0,61.0,4799,37
2500,,OVA,FINISHED,FALL,1993.0,934.0,3.0,23.0,68.0,69.0,4793,46
13117,HAKUOKI: WILD DANCE OF TOKYO,MOVIE,FINISHED,SUMMER,2013.0,133.0,1.0,95.0,72.0,73.0,4790,34
2004,,TV,FINISHED,FALL,2002.0,24.0,25.0,25.0,75.0,77.0,4790,80
1729,Maria Watches Over Us 3rd Season OVA,OVA,FINISHED,WINTER,2006.0,61.0,5.0,50.0,76.0,76.0,4779,46
108758,,OVA,FINISHED,SUMMER,2019.0,193.0,1.0,26.0,69.0,70.0,4776,45
8560,,OVA,FINISHED,SUMMER,2010.0,103.0,2.0,20.0,58.0,58.0,4775,18
3750,Maria Watches Over Us Season 4,TV,FINISHED,WINTER,2009.0,91.0,13.0,25.0,75.0,76.0,4769,60
102427,Knights of the Zodiac: Saint Seiya,ONA,FINISHED,SUMMER,2019.0,193.0,6.0,23.0,46.0,46.0,4764,21
