anime_id,genre
108632,Drama
108632,Fantasy
108632,Psychological
108632,Thriller
13601,Action
13601,Psychological
13601,Sci-Fi
13601,Thriller
2904,Action
2904,Drama
2904,Mecha
2904,Sci-Fi
2904,Thriller
99750,Drama
99750,Romance
99750,Slice of Life
431,Adventure
431,Drama
431,Fantasy
431,Romance
12189,Mystery
12189,Romance
12189,Slice of Life
10087,Action
10087,Drama
10087,Fantasy
10087,Supernatural
98460,Action
98460,Drama
98460,Horror
98460,Psychological
98460,Supernatural
106286,Drama
106286,Romance
106286,Slice of Life
106286,Supernatural
14741,Comedy
14741,Drama
14741,Romance
14741,Slice of Life
21804,Comedy
21804,Slice of Life
21804,Supernatural
145139,Action
145139,Adventure
145139,Drama
145139,Fantasy
145139,Supernatural
5081,Comedy
5081,Drama
5081,Mystery
5081,Psychological
5081,Romance
5081,Supernatural
129874,Action
129874,Adventure
129874,Drama
129874,Fantasy
129874,Mystery
129874,Supernatural
20474,Action
20474,Adventure
20474,Supernatural
115230,Action
115230,Adventure
115230,Drama
115230,Fantasy
115230,Mystery
21776,Comedy
21776,Fantasy
21776,Slice of Life
120377,Action
120377,Drama
120377,Psychological
120377,Sci-Fi
108725,Action
108725,Adventure
108725,Drama
108725,Fantasy
108725,Horror
108725,Psychological
108725,Thriller
113936,Action
113936,Adventure
113936,Comedy
113936,Sci-Fi
171018,Action
171018,Comedy
171018,Drama
171018,Romance
171018,Sci-Fi
171018,Supernatural
99578,Comedy
99578,Romance
99578,Slice of Life
20829,Action
20829,Drama
20829,Fantasy
20829,Mystery
20829,Supernatural
19,Drama
19,Horror
19,Mystery
19,Psychological
19,Thriller
9756,Action
9756,Drama
9756,Fantasy
9756,Mahou Shoujo
9756,Psychological
9756,Thriller
21128,Action
21128,Adventure
21128,Comedy
21128,Supernatural
142838,Action
142838,Comedy
142838,Slice of Life
142838,Supernatural
100388,Action
100388,Drama
100388,Psychological
100388,Thriller
114535,Adventure
114535,Drama
114535,Fantasy
114535,Psychological
114535,Supernatural
128893,Action
128893,Adventure
128893,Mystery
128893,Supernatural
133965,Comedy
133965,Romance
133965,Slice of Life
113813,Comedy
113813,Drama
113813,Romance
21450,Action
21450,Adventure
21450,Drama
21450,Mystery
21450,Supernatural
105334,Comedy
105334,Drama
105334,Romance
105334,Slice of Life
105334,Supernatural
11617,Action
11617,Comedy
11617,Ecchi
11617,Fantasy
11617,Romance
100240,Action
100240,Horror
100240,Mystery
100240,Psychological
100240,Supernatural
108511,Action
108511,Adventure
108511,Comedy
108511,Fantasy
103572,Comedy
103572,Drama
103572,Romance
103572,Slice of Life
150672,Drama
150672,Mystery
150672,Psychological
150672,Supernatural
116006,Action
116006,Fantasy
137822,Action
137822,Drama
137822,Sports
127720,Adventure
127720,Drama
127720,Ecchi
127720,Fantasy
101165,Action
101165,Adventure
101165,Fantasy
164,Action
164,Adventure
164,Drama
164,Fantasy
6746,Action
6746,Mystery
6746,Supernatural
106625,Comedy
106625,Drama
106625,Sports
2167,Comedy
2167,Drama
2167,Romance
2167,Slice of Life
2167,Supernatural
116589,Action
116589,Drama
116589,Mecha
116589,Sci-Fi
102883,Action
102883,Adventure
102883,Drama
102883,Mystery
102883,Supernatural
114236,Action
114236,Drama
114236,Sci-Fi
114236,Supernatural
918,Action
918,Comedy
918,Drama
918,Sci-Fi
124845,Action
124845,Drama
124845,Fantasy
124845,Mystery
124845,Psychological
124845,Sci-Fi
124845,Thriller
99539,Action
99539,Adventure
99539,Comedy
99539,Ecchi
99539,Fantasy
99539,Supernatural
100182,Action
100182,Adventure
100182,Fantasy
7054,Comedy
7054,Drama
7054,Romance
119661,Action
119661,Adventure
119661,Drama
119661,Fantasy
119661,Psychological
119661,Romance
119661,Thriller
20661,Drama
20661,Mystery
20661,Psychological
20661,Thriller
20799,Action
20799,Adventure
20799,Drama
20799,Supernatural
18153,Action
18153,Drama
18153,Fantasy
18153,Slice of Life
18153,Supernatural
8074,Action
8074,Drama
8074,Ecchi
8074,Horror
8074,Romance
8074,Supernatural
11771,Comedy
11771,Sports
125367,Comedy
125367,Psychological
125367,Romance
125367,Slice of Life
13759,Comedy
13759,Drama
13759,Romance
13759,Slice of Life
523,Adventure
523,Fantasy
523,Slice of Life
523,Supernatural
5680,Comedy
5680,Music
5680,Slice of Life
130298,Action
130298,Comedy
130298,Fantasy
205,Action
205,Adventure
205,Comedy
226,Action
226,Drama
226,Ecchi
226,Horror
226,Psychological
226,Romance
226,Supernatural
20698,Comedy
20698,Drama
20698,Romance
20698,Slice of Life
18897,Comedy
18897,Romance
18897,Slice of Life
21518,Comedy
21518,Ecchi
120697,Comedy
120697,Romance
120697,Slice of Life
161645,Drama
161645,Mystery
19603,Action
19603,Fantasy
19603,Supernatural
121,Action
121,Adventure
121,Drama
121,Fantasy
98437,Action
98437,Adventure
98437,Fantasy
107660,Drama
107660,Mystery
107660,Psychological
107660,Romance
107660,Slice of Life
4898,Action
4898,Comedy
4898,Fantasy
4898,Mystery
4898,Supernatural
151801,Action
151801,Comedy
151801,Fantasy
14227,Comedy
14227,Romance
14227,Slice of Life
17895,Drama
17895,Romance
21613,Action
21613,Fantasy
112301,Action
112301,Comedy
112301,Fantasy
20458,Action
20458,Romance
20458,Sci-Fi
20458,Supernatural
176496,Action
176496,Adventure
176496,Fantasy
20872,Drama
20872,Romance
20872,Sci-Fi
20872,Slice of Life
113538,Comedy
113538,Drama
113538,Sports
853,Comedy
853,Drama
853,Romance
853,Slice of Life
813,Action
813,Adventure
813,Comedy
813,Fantasy
813,Supernatural
104157,Drama
104157,Psychological
104157,Romance
104157,Supernatural
21049,Comedy
21049,Drama
21049,Romance
21049,Slice of Life
116742,Action
116742,Adventure
116742,Comedy
116742,Fantasy
141391,Comedy
141391,Psychological
141391,Romance
141391,Slice of Life
141391,Supernatural
6880,Action
6880,Drama
6880,Sci-Fi
6880,Supernatural
16782,Drama
16782,Psychological
16782,Romance
16782,Slice of Life
1689,Drama
1689,Romance
1689,Slice of Life
140439,Action
140439,Comedy
140439,Drama
140439,Psychological
140439,Slice of Life
140439,Supernatural
153288,Action
153288,Sci-Fi
136430,Action
136430,Adventure
136430,Drama
139630,Action
139630,Adventure
11741,Action
11741,Drama
11741,Fantasy
11741,Supernatural
32,Action
32,Drama
32,Mecha
32,Psychological
32,Sci-Fi
98436,Drama
98436,Fantasy
98436,Romance
98436,Slice of Life
98436,Supernatural
889,Action
889,Adventure
889,Drama
889,Thriller
100876,Drama
100876,Mystery
100876,Psychological
20807,Comedy
20807,Ecchi
20596,Drama
20596,Romance
20596,Slice of Life
10793,Action
10793,Drama
10793,Mecha
10793,Psychological
10793,Romance
10793,Sci-Fi
15583,Action
15583,Comedy
15583,Ecchi
15583,Fantasy
15583,Mecha
15583,Romance
15583,Sci-Fi
101474,Action
101474,Adventure
101474,Fantasy
130003,Comedy
130003,Music
130003,Slice of Life
339,Drama
339,Mystery
339,Psychological
339,Sci-Fi
339,Supernatural
21679,Action
21679,Comedy
21679,Mystery
21679,Supernatural
101167,Action
101167,Adventure
101167,Comedy
101167,Fantasy
101167,Romance
10165,Comedy
10165,Slice of Life
108463,Action
108463,Comedy
108463,Drama
108463,Mystery
108463,Supernatural
6045,Comedy
6045,Drama
6045,Romance
6045,Slice of Life
111321,Action
111321,Adventure
111321,Fantasy
166240,Action
166240,Adventure
166240,Drama
166240,Fantasy
166240,Supernatural
124153,Action
124153,Drama
124153,Sports
102976,Action
102976,Adventure
102976,Comedy
102976,Ecchi
102976,Fantasy
102976,Supernatural
145545,Drama
145545,Mystery
145545,Psychological
17265,Action
17265,Adventure
17265,Fantasy
116267,Comedy
116267,Romance
116267,Slice of Life
21092,Action
21092,Ecchi
21092,Fantasy
21092,Romance
21647,Drama
21647,Romance
21647,Supernatural
21709,Comedy
21709,Drama
21709,Sports
21857,Comedy
21857,Romance
21857,Slice of Life
16592,Horror
16592,Mystery
16592,Psychological
16592,Sci-Fi
16592,Thriller
437,Drama
437,Horror
437,Psychological
437,Thriller
102351,Action
102351,Horror
102351,Mystery
102351,Psychological
102351,Supernatural
99255,Comedy
99255,Ecchi
14513,Action
14513,Adventure
14513,Fantasy
21875,Action
21875,Adventure
21875,Drama
21875,Fantasy
21875,Romance
110349,Action
110349,Comedy
110349,Drama
110349,Thriller
146065,Adventure
146065,Drama
146065,Ecchi
146065,Fantasy
20727,Action
20727,Comedy
20727,Supernatural
223,Action
223,Adventure
223,Comedy
223,Fantasy
223,Sci-Fi
223,Supernatural
20668,Comedy
20668,Romance
20668,Slice of Life
97938,Action
97938,Adventure
97938,Fantasy
146984,Action
146984,Drama
146984,Fantasy
146984,Mystery
146984,Psychological
47,Action
47,Adventure
47,Horror
47,Psychological
47,Sci-Fi
47,Supernatural
100922,Comedy
100922,Slice of Life
100922,Sports
4181,Drama
4181,Romance
4181,Slice of Life
4181,Supernatural
100723,Action
100723,Comedy
100723,Drama
100723,Sci-Fi
159831,Action
159831,Comedy
159831,Horror
159831,Supernatural
21127,Drama
21127,Psychological
21127,Sci-Fi
21127,Thriller
109261,Comedy
109261,Drama
109261,Romance
109261,Slice of Life
103139,Drama
103139,Ecchi
103139,Romance
99629,Action
99629,Adventure
99629,Horror
99629,Psychological
99629,Thriller
108759,Action
108759,Adventure
108759,Fantasy
108489,Comedy
108489,Drama
108489,Romance
108489,Slice of Life
113717,Action
113717,Adventure
113717,Drama
113717,Fantasy
100668,Action
100668,Adventure
100668,Fantasy
100668,Psychological
21366,Drama
21366,Slice of Life
20770,Action
20770,Adventure
20770,Comedy
20770,Drama
20770,Fantasy
20770,Romance
158927,Action
158927,Comedy
158927,Slice of Life
158927,Supernatural
108430,Drama
108430,Music
108430,Romance
108430,Slice of Life
21175,Action
21175,Adventure
21175,Comedy
21175,Fantasy
21175,Sci-Fi
129201,Action
129201,Drama
129201,Mystery
129201,Supernatural
129201,Thriller
100977,Action
100977,Comedy
100977,Sci-Fi
227,Action
227,Comedy
227,Mecha
227,Sci-Fi
20792,Action
20792,Drama
20792,Fantasy
20792,Supernatural
20910,Comedy
20910,Ecchi
21421,Drama
21421,Romance
21421,Sci-Fi
108928,Action
108928,Adventure
108928,Comedy
108928,Ecchi
108928,Fantasy
108928,Supernatural
131646,Action
131646,Drama
131646,Fantasy
131646,Mystery
131646,Supernatural
143270,Action
143270,Slice of Life
849,Comedy
849,Mystery
849,Sci-Fi
849,Slice of Life
849,Supernatural
101004,Comedy
101004,Ecchi
101004,Fantasy
127911,Comedy
127911,Romance
127911,Slice of Life
103223,Action
103223,Comedy
103223,Mystery
103223,Supernatural
21711,Action
21711,Drama
21711,Psychological
20457,Action
20457,Drama
20457,Mystery
20457,Sci-Fi
10408,Drama
10408,Fantasy
10408,Romance
10408,Supernatural
155783,Adventure
155783,Mystery
155783,Sci-Fi
155783,Thriller
153518,Adventure
153518,Comedy
153518,Fantasy
20993,Action
20993,Drama
20993,Fantasy
20993,Supernatural
877,Drama
877,Music
877,Romance
877,Slice of Life
578,Drama
12355,Drama
12355,Fantasy
